activity,group,duration,distance,steps,calories,record_id,summary_id
walking,walking,1845,1562,2254,78,1,1
transport,transport,2621,17662,,,1,2
transport,transport,7004,76308,,,2,3
walking,walking,1670,1174,2177,59,2,4
walking,walking,3552,4057,5768,203,3,5
transport,transport,2887,20194,,,3,6
walking,walking,5116,6744,9162,337,4,7
transport,transport,2849,22947,,,4,8
running,running,180,437,409,27,4,9
walking,walking,3896,4021,5599,201,5,10
transport,transport,4803,21955,,,5,11
walking,walking,4116,4728,6606,236,6,12
transport,transport,3185,22743,,,6,13
walking,walking,2321,2665,3582,133,7,14
transport,transport,3241,19653,,,7,15
walking,walking,6171,7943,10030,397,8,16
transport,transport,3149,25020,,,8,17
running,running,392,838,918,52,8,18
walking,walking,1252,782,1461,39,9,19
transport,transport,3021,21743,,,9,20
walking,walking,628,457,923,23,10,21
transport,transport,9710,198321,,,10,22
walking,walking,4339,5054,6566,252,11,23
transport,transport,3489,25367,,,11,24
walking,walking,4116,5551,7269,278,12,25
running,running,1110,2579,2750,158,12,26
transport,transport,5806,30316,,,12,27
walking,walking,3797,4398,6123,220,13,28
transport,transport,3046,17966,,,13,29
walking,walking,2081,2148,2774,107,14,30
transport,transport,2611,18170,,,14,31
walking,walking,3239,2779,4245,139,15,32
transport,transport,285,1492,,,15,33
walking,walking,4911,6112,8308,305,16,34
running,running,810,2032,2066,124,16,35
transport,transport,3175,22232,,,16,36
walking,walking,3232,3570,4745,178,17,37
transport,transport,2550,18142,,,17,38
walking,walking,3486,3664,5247,183,18,39
transport,transport,2231,19878,,,18,40
walking,walking,3298,2836,4846,142,19,41
transport,transport,2770,19639,,,19,42
walking,walking,3849,3764,5497,188,20,43
transport,transport,5177,36063,,,20,44
walking,walking,3595,4473,5816,223,21,45
transport,transport,2436,18165,,,21,46
running,running,1110,2544,2710,156,21,47
walking,walking,1781,1174,1933,59,22,48
transport,transport,3546,31613,,,22,49
walking,walking,7574,10649,13867,532,23,50
transport,transport,5189,30609,,,23,51
running,running,660,1637,1714,100,23,52
walking,walking,3173,3614,5049,181,24,53
transport,transport,2710,17836,,,24,54
walking,walking,4097,4734,6486,237,25,55
transport,transport,2059,18249,,,25,56
running,running,870,2162,2250,132,25,57
walking,walking,3214,3595,4974,180,26,58
transport,transport,2012,17705,,,26,59
walking,walking,4265,5283,6882,264,27,60
transport,transport,2605,17818,,,27,61
walking,walking,3517,4024,5328,201,28,62
transport,transport,4061,28264,,,28,63
walking,walking,3818,3567,5334,178,29,64
cycling,cycling,183,119,,4,29,65
transport,transport,1972,16568,,,29,66
walking,walking,1566,1166,2190,58,30,67
transport,transport,2032,36479,,,30,68
walking,walking,3004,2839,4415,142,31,69
transport,transport,2545,19680,,,31,70
walking,walking,5196,5853,8025,292,32,71
transport,transport,3396,18208,,,32,72
walking,walking,3660,3652,5171,182,33,73
transport,transport,2587,26241,,,33,74
walking,walking,2524,2583,3702,129,34,75
transport,transport,4538,26178,,,34,76
walking,walking,30,15,30,1,35,77
walking,walking,2475,2979,3423,149,36,78
transport,transport,5762,32924,,,36,79
cycling,cycling,1594,8836,,194,36,80
walking,walking,4252,4915,6579,246,37,81
transport,transport,2209,19024,,,37,82
walking,walking,1762,1689,2519,84,38,83
transport,transport,4931,26083,,,38,84
walking,walking,3970,4293,6502,214,39,85
cycling,cycling,187,461,,11,39,86
running,running,1080,2726,2733,166,39,87
transport,transport,3700,20068,,,39,88
walking,walking,2132,2231,3249,111,40,89
transport,transport,3080,17795,,,40,90
walking,walking,2897,2794,4189,140,41,91
transport,transport,2276,25100,,,41,92
walking,walking,2030,1534,2673,77,42,93
transport,transport,4556,65202,,,42,94
transport,transport,4084,32752,,,43,95
walking,walking,2826,2502,4133,125,43,96
walking,walking,4698,6150,8273,307,44,97
transport,transport,3347,26182,,,44,98
walking,walking,3408,3839,5777,192,45,99
transport,transport,4953,26139,,,45,100
walking,walking,2341,2745,3680,137,46,101
transport,transport,2029,17833,,,46,102
walking,walking,4905,5513,7822,275,47,103
running,running,1470,3939,3729,239,47,104
transport,transport,2375,17742,,,47,105
walking,walking,4141,4135,6142,207,48,106
transport,transport,1885,18494,,,48,107
walking,walking,3294,3863,5263,193,49,108
running,running,1650,4170,4156,254,49,109
transport,transport,1104,6175,,,49,110
walking,walking,4668,5724,7856,287,50,111
running,running,720,1909,1838,116,50,112
transport,transport,3594,27461,,,50,113
walking,walking,2092,1930,3078,96,51,114
transport,transport,2316,17765,,,51,115
walking,walking,2975,3709,4545,185,52,116
transport,transport,1793,18491,,,52,117
walking,walking,4110,5563,7179,278,53,118
running,running,1495,3822,3821,233,53,119
transport,transport,2235,17220,,,53,120
walking,walking,1183,1011,1629,51,54,121
transport,transport,2693,17833,,,54,122
walking,walking,1853,1779,2663,89,55,123
transport,transport,2089,17851,,,55,124
walking,walking,3354,2752,4212,137,56,125
transport,transport,1237,7074,,,56,126
walking,walking,2024,1823,3026,91,57,127
transport,transport,3721,24452,,,57,128
walking,walking,5308,6254,8186,312,58,129
transport,transport,2025,18793,,,58,130
running,running,420,1133,1094,69,58,131
walking,walking,3377,3956,5579,198,59,132
transport,transport,1891,17536,,,59,133
walking,walking,2701,2833,3964,142,60,134
transport,transport,2036,18039,,,60,135
walking,walking,3002,3807,4792,190,61,136
transport,transport,2373,17393,,,61,137
walking,walking,4973,6154,7645,307,62,138
transport,transport,2207,17866,,,62,139
walking,walking,2607,2558,3550,128,63,140
transport,transport,1856,22093,,,63,141
walking,walking,2646,3050,4039,152,64,142
running,running,1395,3372,3511,206,64,143
transport,transport,2454,23223,,,64,144
walking,walking,2554,2435,3603,122,65,145
transport,transport,2718,17636,,,65,146
walking,walking,3486,4292,5660,214,66,147
transport,transport,2346,17778,,,66,148
walking,walking,4700,6036,7323,302,67,149
transport,transport,2489,17557,,,67,150
walking,walking,1575,1677,2481,84,68,151
transport,transport,3183,20428,,,68,152
walking,walking,2721,3285,4478,164,69,153
transport,transport,2767,38746,,,69,154
walking,walking,3162,3344,4297,167,70,155
transport,transport,15191,955065,,,70,156
walking,walking,1135,1138,1719,57,71,157
transport,transport,1162,10276,,,71,158
walking,walking,3109,3081,4158,154,72,159
transport,transport,1584,7105,,,72,160
walking,walking,1664,1697,2354,85,73,161
transport,transport,2349,17638,,,73,162
walking,walking,3833,4784,5914,239,74,163
transport,transport,5231,26846,,,74,164
running,running,540,1347,1365,82,74,165
walking,walking,3192,3266,4577,165,75,166
transport,transport,3394,18986,,,75,167
walking,walking,3371,4445,5410,222,76,168
transport,transport,4012,25718,,,76,169
walking,walking,1341,1610,2121,80,77,170
walking,walking,3639,3947,5408,197,78,171
transport,transport,7454,79520,,,78,172
walking,walking,1356,863,1331,43,79,173
transport,transport,5008,38655,,,79,174
walking,walking,1477,1144,1878,57,80,175
transport,transport,2121,10630,,,80,176
walking,walking,2673,2893,4255,145,81,177
transport,transport,2565,18409,,,81,178
walking,walking,1438,1547,2150,77,82,179
transport,transport,1273,10092,,,82,180
walking,walking,1581,1618,2314,82,83,181
transport,transport,1721,17689,,,83,182
walking,walking,2877,3453,4599,173,84,183
transport,transport,2833,18566,,,84,184
walking,walking,1775,1806,2734,90,85,185
transport,transport,2314,17807,,,85,186
walking,walking,1797,2015,2355,101,86,187
transport,transport,1125,8633,,,86,188
walking,walking,3699,3860,5261,193,87,189
transport,transport,3682,33740,,,87,190
walking,walking,2452,2439,3436,122,88,191
transport,transport,1298,9679,,,88,192
walking,walking,3324,3452,4648,172,89,193
